pattern_id,pattern,match_count,seconds
166,*/mobile/Containers/Shared/AppGroup/*/bereal-chat.sqlite*,0,1.971101
167,*/mobile/Containers/Data/Application/*/Documents/mmkv/mmkv.default,2,1.885749
168,*/mobile/Library/Logs/mobileactivationd/ucrt_oob_request.txt,0,0.569454
169,**/Safari/Bookmarks.db*,3,2.033977
170,*/Biome/streams/public/Notification/local/*,2,2.012497
171,*/Library/Caches/Snapshots/*.ktx,0,2.067773
172,*/Library/Caches/Snapshots/*.jpeg,0,1.976787
173,*/SplashBoard/Snapshots/*.ktx,636,1.976976
174,*/SplashBoard/Snapshots/*.jpeg,0,2.052036
175,*/root/Library/Application Support/WiFiNetworkStoreModel.sqlite*,0,1.948471
176,*/preferences/SystemConfiguration/com.apple.accounts.exists.plist,1,0.552315
177,*/Library/Support/Devices.sqlite3*,0,2.023922
178,*/Library/Support/configFile1,0,0.552723
179,*/Library/Support/*/DMSSCloud.sqlite*,0,1.949118
180,*/Documents/Captures/*,0,1.958508
181,*/Documents/Videos/*,0,1.960221
182,*/mobile/Library/FrontBoard/applicationState.db*,3,1.986395
183,*/mobile/Containers/Shared/AppGroup/*/AccountData/*/store/store.wiredatabase*,3,2.041620
184,*/wireless/Library/Preferences/com.apple.commcenter.plist,1,0.523798
185,*/mobile/Containers/Data/Application/*/Library/DriveIQ/segments/current/*.*,0,1.926369
186,**mobile/Containers/Data/Application/*/.com.apple.mobile_container_manager.metadata.plist,179,1.791353
187,*/Biome/streams/restricted/OSAnalytics.Hardware.Reliability/local/*,0,1.999621
188,*/mobile/Library/Caches/Backup/cloudkit_cache.db*,0,2.004578
189,*/MapsSync_0.0.1*,6,1.977600
190,*/mobile/Containers/Data/Application/*/Library/Application Support/data/*/searchsqlitedb*,1,2.107373
191,*/mobile/Containers/Data/Application/*/Library/Application Support/data/*/sqlitedb*,3,2.033898
192,*NoteStore.sqlite*,3,1.874248
193,*/biome/streams/restricted/_DKEvent.App.LocationActivity/local/*,0,1.930293
194,*/mobile/Library/Caches/com.apple.appstored/storeUser.db*,3,1.913145
195,*/mobile/Containers/Shared/AppGroup/*/Phoenix.sqlite*,3,1.928940
196,*PrivateFeed,0,0.469471
197,*PublicFeed,0,0.459745
198,*FriendsFeed,0,0.430509
