Module Name,Artifact Name,Search Pattern,List File Name,Count,Search Time (s)
Ph11KwrdsCapsTitlesDescripsBasicAssetData,Ph11-KwrdsCapsTitlesDescripsLikesBasicAsstData-PhDaPsql,*/PhotoData/Photos.sqlite*,belkasoft-ctf6-ios-dev1.csv,3,0.1449
Ph11KwrdsCapsTitlesDescripsBasicAssetData,Ph11-KwrdsCapsTitlesDescripsLikesBasicAsstData-PhDaPsql,*/PhotoData/Photos.sqlite*,magnet-mvs-2023-ios.csv,3,0.6682
booking,booking,*/mobile/Containers/Data/Application/*/Library/Preferences/com.booking.BookingApp.plist,josh-hickman-ios15.csv,0,0.7832
booking,booking,*/mobile/Containers/Data/Application/*/Library/Preferences/com.booking.BookingApp.plist,belkasoft-ctf6-ios-dev1.csv,0,0.1143
booking,booking,*/mobile/Containers/Data/Application/*/Library/Preferences/com.booking.BookingApp.plist,magnet-mvs-2023-ios.csv,0,0.6038
ZangiChats,Zangi_Chats,*/private/var/mobile/Containers/Shared/AppGroup/*/zangidb.sqlite*,josh-hickman-ios15.csv,0,0.8728
ZangiChats,Zangi_Chats,*/private/var/mobile/Containers/Shared/AppGroup/*/zangidb.sqlite*,belkasoft-ctf6-ios-dev1.csv,0,0.1427
ZangiChats,Zangi_Chats,*/private/var/mobile/Containers/Shared/AppGroup/*/zangidb.sqlite*,magnet-mvs-2023-ios.csv,0,0.6581
uberLeveldb,uberLocations,*/Data/Application/*/Library/Application Support/com.ubercab.UberClient/storagev2/*,josh-hickman-ios15.csv,0,0.8624
uberLeveldb,uberLocations,*/Data/Application/*/Library/Application Support/com.ubercab.UberClient/storagev2/*,belkasoft-ctf6-ios-dev1.csv,188,0.1405
uberLeveldb,uberLocations,*/Data/Application/*/Library/Application Support/com.ubercab.UberClient/storagev2/*,magnet-mvs-2023-ios.csv,0,0.6367
Ph98iOS18REFforAssetAnalysis,Ph98-1-iOS18_Ref_for_Asset_Analysis-PhDaPsql,*/PhotoData/Photos.sqlite*,josh-hickman-ios15.csv,3,0.8938
Ph98iOS18REFforAssetAnalysis,Ph98-1-iOS18_Ref_for_Asset_Analysis-PhDaPsql,*/PhotoData/Photos.sqlite*,belkasoft-ctf6-ios-dev1.csv,3,0.1438
