Module Name,Artifact Name,Search Pattern,List File Name,Count,Search Time (s)
ATXDatastore,get_atxDatastore,**routined/Local.sqlite*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,3,0.1374
ATXDatastore,get_atxDatastore,**DuetExpertCenter/_ATXDataStore.db*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,3,0.6469
ATXDatastore,get_atxDatastore,**routined/Local.sqlite*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,3,0.6628
Ph31iCloudSharePhotoLibraryNAD,Ph31-iCloud SPL with Participants with NAD-PhDaPsql,*/PhotoData/Photos.sqlite*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,3,0.9457
Ph31iCloudSharePhotoLibraryNAD,Ph31-iCloud SPL with Participants with NAD-PhDaPsql,*/PhotoData/Photos.sqlite*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,3,0.1628
Ph31iCloudSharePhotoLibraryNAD,Ph31-iCloud SPL with Participants with NAD-PhDaPsql,*/PhotoData/Photos.sqlite*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,3,0.6932
carCD,carCD,*/Library/Caches/locationd/cache.plist,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,1,0.3142
carCD,carCD,*/Library/Caches/locationd/cache.plist,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,1,0.0526
carCD,carCD,*/Library/Caches/locationd/cache.plist,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,1,0.2339
deviceDatam,devicedata,*wireless/Library/Preferences/com.apple.commcenter.device_specific_nobackup.plist,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,1,0.2796
deviceDatam,devicedata,*wireless/Library/Preferences/com.apple.commcenter.device_specific_nobackup.plist,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,0,0.0467
deviceDatam,devicedata,*wireless/Library/Preferences/com.apple.commcenter.device_specific_nobackup.plist,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,1,0.2062
torrentinfo,torrentinfo,*/*.torrent,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,0,0.3596
torrentinfo,torrentinfo,*/*.torrent,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,0,0.0564
torrentinfo,torrentinfo,*/*.torrent,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,0,0.2207
vippsContacts,vippsContacts,*/Vipps.sqlite*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,0,0.8975
vippsContacts,vippsContacts,*/Vipps.sqlite*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,0,0.1526
vippsContacts,vippsContacts,*/Vipps.sqlite*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,0,0.6745
obliterated,obliterated,*/root/.obliterated,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,1,0.3096
obliterated,obliterated,*/root/.obliterated,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,1,0.0530
obliterated,obliterated,*/root/.obliterated,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,1,0.2341
biomeTextinputses,biomeTextinputses,*/Biome/streams/public/TextInputSession/local/*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,2,0.8927
biomeTextinputses,biomeTextinputses,*/Biome/streams/restricted/Text.InputSession/local/*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,0,0.8828
biomeTextinputses,biomeTextinputses,*/Biome/streams/public/TextInputSession/local/*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,2,0.1494
biomeTextinputses,biomeTextinputses,*/Biome/streams/restricted/Text.InputSession/local/*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,0,0.1459
biomeTextinputses,biomeTextinputses,*/Biome/streams/public/TextInputSession/local/*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,2,0.6696
biomeTextinputses,biomeTextinputses,*/Biome/streams/restricted/Text.InputSession/local/*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,0,0.6595
AshHistory,Alphine Linux Bash History,*/.ash_history,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,0,0.3068
AshHistory,Alphine Linux Bash History,*/.ash_history,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,0,0.0529
AshHistory,Alphine Linux Bash History,*/.ash_history,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,0,0.2313
applePodcasts,applepodcasts,**/MTLibrary.sqlite*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,0,0.9684
applePodcasts,applepodcasts,**/MTLibrary.sqlite*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,0,0.1613
applePodcasts,applepodcasts,**/MTLibrary.sqlite*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,0,0.6753
AllTrails,alltrails,**/Documents/AllTrails.sqlite*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,3,0.8986
AllTrails,alltrails,**/Documents/AllTrails.sqlite*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,0,0.1508
AllTrails,alltrails,**/Documents/AllTrails.sqlite*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,0,0.6719
Ph94Ios14REFforAssetAnalysis,Ph94-1-iOS14_Ref_for_Asset_Analysis-PhDaPsql,*/PhotoData/Photos.sqlite*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,3,0.9107
Ph94Ios14REFforAssetAnalysis,Ph94-1-iOS14_Ref_for_Asset_Analysis-PhDaPsql,*/PhotoData/Photos.sqlite*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,3,0.1568
Ph94Ios14REFforAssetAnalysis,Ph94-1-iOS14_Ref_for_Asset_Analysis-PhDaPsql,*/PhotoData/Photos.sqlite*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,3,0.6890
Ph94Ios14REFforAssetAnalysis,Ph94-2-iOS14_Ref_for_Asset_Analysis-SyndPL,*/mobile/Library/Photos/Libraries/Syndication.photoslibrary/database/Photos.sqlite*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,3,0.8913
Ph94Ios14REFforAssetAnalysis,Ph94-2-iOS14_Ref_for_Asset_Analysis-SyndPL,*/mobile/Library/Photos/Libraries/Syndication.photoslibrary/database/Photos.sqlite*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,3,0.1497
Ph94Ios14REFforAssetAnalysis,Ph94-2-iOS14_Ref_for_Asset_Analysis-SyndPL,*/mobile/Library/Photos/Libraries/Syndication.photoslibrary/database/Photos.sqlite*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,3,0.6696
whatsappMessages,whatsappMessages,*/var/mobile/Containers/Shared/AppGroup/*/ChatStorage.sqlite*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,0,0.9190
whatsappMessages,whatsappMessages,*/var/mobile/Containers/Shared/AppGroup/*/Message/Media/*/*/*/*.*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,0,0.8800
whatsappMessages,whatsappMessages,*/var/mobile/Containers/Shared/AppGroup/*/ChatStorage.sqlite*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,0,0.1505
whatsappMessages,whatsappMessages,*/var/mobile/Containers/Shared/AppGroup/*/Message/Media/*/*/*/*.*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,0,0.1367
whatsappMessages,whatsappMessages,*/var/mobile/Containers/Shared/AppGroup/*/ChatStorage.sqlite*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,0,0.6784
whatsappMessages,whatsappMessages,*/var/mobile/Containers/Shared/AppGroup/*/Message/Media/*/*/*/*.*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,0,0.6573
biomeUseractmeta,biomeUseractmeta,*/Biome/streams/restricted/UserActivityMetadata/local*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,2,0.8939
